                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7163,                 1.4113,                 1.2041,                0.68558,                0.59841,                0.61083,                0.31399,                 1.6319,                 1.2295,                 1.1704,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.6805,                 1.0686,                 1.1553,                0.70856,                0.61162,                0.63874,                0.32766,                 1.6805,                 1.5694,                 1.2278,              0.0012924,              0.0012924,              0.0012924
                      3,                 1.6248,                 1.0392,                 1.1468,                0.79381,                0.63064,                 0.6706,                0.34893,                 1.6239,                 1.2468,                 1.1518,              0.0019066,              0.0019066,              0.0019066
                      4,                 1.6482,                0.95637,                  1.136,                  0.695,                0.70674,                0.67299,                0.32773,                  1.612,                 1.0559,                 1.1717,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5789,                0.90894,                 1.1128,                0.80557,                  0.679,                0.75039,                0.38333,                 1.5867,                0.87919,                 1.1356,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.587,                0.90581,                 1.1254,                0.80377,                0.66013,                0.73133,                0.38008,                 1.6283,                0.86578,                 1.1528,               0.001802,               0.001802,               0.001802
                      7,                 1.5693,                0.92524,                 1.1385,                0.82817,                 0.6494,                0.74692,                0.40462,                 1.5103,                0.81397,                 1.1067,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.487,                0.85489,                 1.0839,                0.80654,                0.72697,                0.78821,                0.40851,                 1.5038,                0.78327,                 1.1047,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4601,                0.85155,                 1.1153,                0.79081,                0.70415,                 0.7584,                0.40992,                 1.4861,                0.83883,                 1.0857,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4713,                0.83457,                 1.0918,                0.80429,                0.63276,                0.72006,                0.37077,                  1.579,                0.87542,                 1.1259,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.447,                0.82679,                 1.0759,                0.82511,                 0.7167,                0.79975,                0.43037,                 1.4976,                0.80202,                  1.085,               0.001604,               0.001604,               0.001604
                     12,                  1.434,                0.80549,                 1.0733,                0.83998,                0.67239,                 0.7702,                0.42373,                 1.5042,                0.77641,                 1.0923,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4178,                 0.7828,                 1.0584,                0.79011,                0.71112,                0.77292,                0.42913,                 1.4629,                0.77779,                 1.0656,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3877,                0.76771,                 1.0657,                0.82806,                0.69881,                0.77557,                 0.4393,                 1.4346,                0.78161,                 1.0579,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.351,                0.75717,                 1.0438,                0.85104,                0.70938,                0.78747,                0.44314,                 1.4774,                 0.7461,                 1.0851,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3805,                0.75919,                 1.0601,                0.84997,                0.71863,                 0.8028,                0.46013,                 1.4286,                0.76385,                 1.0669,               0.001406,               0.001406,               0.001406
                     17,                 1.3464,                 0.7383,                 1.0396,                0.87534,                0.71422,                 0.8144,                0.45616,                 1.4645,                0.74972,                 1.0819,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.3529,                0.74298,                 1.0463,                0.87247,                0.71202,                0.81653,                0.45085,                 1.4646,                0.72696,                 1.0768,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3622,                0.74049,                  1.042,                0.83966,                0.75429,                0.81439,                0.45914,                 1.4256,                0.72479,                 1.0569,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.3264,                0.73344,                  1.038,                0.84771,                0.74269,                0.82947,                0.46349,                 1.4559,                0.73513,                 1.0714,              0.0012476,              0.0012476,              0.0012476
